Room,Value,Time,Type
3FAD,43.3,00:53 2023-12-02,RH %
3FAD,1072.0,01:08 2023-12-02,CO2 ppm
3FAD,21.1,01:08 2023-12-02,t° C
3FAD,43.3,01:08 2023-12-02,RH %
3FAD,1069.0,01:23 2023-12-02,CO2 ppm
3FAD,21.1,01:23 2023-12-02,t° C
3FAD,43.3,01:23 2023-12-02,RH %
3FAD,1061.0,01:38 2023-12-02,CO2 ppm
3FAD,21.1,01:38 2023-12-02,t° C
3FAD,43.3,01:38 2023-12-02,RH %
3FAD,1053.0,01:53 2023-12-02,CO2 ppm
3FAD,21.0,01:53 2023-12-02,t° C
3FAD,43.3,01:53 2023-12-02,RH %
3FAD,1045.0,02:08 2023-12-02,CO2 ppm
3FAD,21.1,02:08 2023-12-02,t° C
3FAD,43.3,02:08 2023-12-02,RH %
3FAD,1039.0,02:23 2023-12-02,CO2 ppm
3FAD,21.0,02:23 2023-12-02,t° C
3FAD,43.3,02:23 2023-12-02,RH %
3FAD,1033.0,02:38 2023-12-02,CO2 ppm
3FAD,21.1,02:38 2023-12-02,t° C
3FAD,43.3,02:38 2023-12-02,RH %
3FAD,1024.0,02:53 2023-12-02,CO2 ppm
3FAD,21.1,02:53 2023-12-02,t° C
3FAD,43.3,02:53 2023-12-02,RH %
3FAD,1019.0,03:08 2023-12-02,CO2 ppm
3FAD,21.0,03:08 2023-12-02,t° C
3FAD,43.3,03:08 2023-12-02,RH %
3FAD,1013.0,03:23 2023-12-02,CO2 ppm
3FAD,21.1,03:23 2023-12-02,t° C
3FAD,43.3,03:23 2023-12-02,RH %
3FAD,1004.0,03:38 2023-12-02,CO2 ppm
3FAD,21.1,03:38 2023-12-02,t° C
3FAD,43.2,03:38 2023-12-02,RH %
3FAD,1000.0,03:53 2023-12-02,CO2 ppm
3FAD,21.0,03:53 2023-12-02,t° C
3FAD,43.3,03:53 2023-12-02,RH %
3FAD,994.0,04:08 2023-12-02,CO2 ppm
3FAD,21.1,04:08 2023-12-02,t° C
3FAD,43.2,04:08 2023-12-02,RH %
3FAD,983.0,04:23 2023-12-02,CO2 ppm
3FAD,21.1,04:23 2023-12-02,t° C
3FAD,43.2,04:23 2023-12-02,RH %
3FAD,981.0,04:38 2023-12-02,CO2 ppm
3FAD,21.1,04:38 2023-12-02,t° C
3FAD,43.2,04:38 2023-12-02,RH %
3FAD,981.0,04:53 2023-12-02,CO2 ppm
3FAD,21.1,04:53 2023-12-02,t° C
3FAD,43.3,04:53 2023-12-02,RH %
3FAD,974.0,05:08 2023-12-02,CO2 ppm
3FAD,21.0,05:08 2023-12-02,t° C
3FAD,43.2,05:08 2023-12-02,RH %
3FAD,964.0,05:23 2023-12-02,CO2 ppm
3FAD,21.1,05:23 2023-12-02,t° C
3FAD,43.2,05:23 2023-12-02,RH %
3FAD,955.0,05:38 2023-12-02,CO2 ppm
3FAD,21.0,05:38 2023-12-02,t° C
3FAD,43.3,05:38 2023-12-02,RH %
3FAD,954.0,05:53 2023-12-02,CO2 ppm
3FAD,21.0,05:53 2023-12-02,t° C
3FAD,43.3,05:53 2023-12-02,RH %
3FAD,950.0,06:08 2023-12-02,CO2 ppm
3FAD,21.0,06:08 2023-12-02,t° C
3FAD,43.2,06:08 2023-12-02,RH %
3FAD,936.0,06:23 2023-12-02,CO2 ppm
3FAD,21.0,06:23 2023-12-02,t° C
3FAD,43.2,06:23 2023-12-02,RH %
3FAD,926.0,06:38 2023-12-02,CO2 ppm
3FAD,21.0,06:38 2023-12-02,t° C
3FAD,43.2,06:38 2023-12-02,RH %
3FAD,919.0,06:53 2023-12-02,CO2 ppm
3FAD,21.0,06:53 2023-12-02,t° C
3FAD,43.2,06:53 2023-12-02,RH %
3FAD,913.0,07:08 2023-12-02,CO2 ppm
3FAD,21.0,07:08 2023-12-02,t° C
3FAD,43.2,07:08 2023-12-02,RH %
3FAD,909.0,07:23 2023-12-02,CO2 ppm
3FAD,21.0,07:23 2023-12-02,t° C
3FAD,43.2,07:23 2023-12-02,RH %
3FAD,905.0,07:38 2023-12-02,CO2 ppm
3FAD,21.0,07:38 2023-12-02,t° C
3FAD,43.2,07:38 2023-12-02,RH %
3FAD,897.0,07:53 2023-12-02,CO2 ppm
3FAD,21.0,07:53 2023-12-02,t° C
3FAD,43.1,07:53 2023-12-02,RH %
3FAD,892.0,08:08 2023-12-02,CO2 ppm
3FAD,21.1,08:08 2023-12-02,t° C
3FAD,43.1,08:08 2023-12-02,RH %
3FAD,881.0,08:23 2023-12-02,CO2 ppm
3FAD,21.0,08:23 2023-12-02,t° C
3FAD,43.1,08:23 2023-12-02,RH %
3FAD,879.0,08:38 2023-12-02,CO2 ppm
3FAD,21.0,08:38 2023-12-02,t° C
3FAD,43.2,08:38 2023-12-02,RH %
3FAD,876.0,08:53 2023-12-02,CO2 ppm
3FAD,21.0,08:53 2023-12-02,t° C
3FAD,43.1,08:53 2023-12-02,RH %
3FAD,864.0,09:08 2023-12-02,CO2 ppm
3FAD,21.0,09:08 2023-12-02,t° C
3FAD,43.1,09:08 2023-12-02,RH %
3FAD,858.0,09:23 2023-12-02,CO2 ppm
3FAD,21.0,09:23 2023-12-02,t° C
3FAD,43.1,09:23 2023-12-02,RH %
3FAD,849.0,09:38 2023-12-02,CO2 ppm
3FAD,21.0,09:38 2023-12-02,t° C
3FAD,43.0,09:38 2023-12-02,RH %
3FAD,847.0,09:53 2023-12-02,CO2 ppm
3FAD,21.1,09:53 2023-12-02,t° C
3FAD,43.1,09:53 2023-12-02,RH %
3FAD,843.0,10:08 2023-12-02,CO2 ppm
3FAD,21.0,10:08 2023-12-02,t° C
3FAD,43.2,10:08 2023-12-02,RH %
3FAD,842.0,10:23 2023-12-02,CO2 ppm
3FAD,21.0,10:23 2023-12-02,t° C
3FAD,43.1,10:23 2023-12-02,RH %
3FAD,832.0,10:38 2023-12-02,CO2 ppm
3FAD,21.0,10:38 2023-12-02,t° C
3FAD,43.1,10:38 2023-12-02,RH %
3FAD,824.0,10:53 2023-12-02,CO2 ppm
3FAD,21.0,10:53 2023-12-02,t° C
3FAD,43.1,10:53 2023-12-02,RH %
3FAD,821.0,11:08 2023-12-02,CO2 ppm
3FAD,21.1,11:08 2023-12-02,t° C
3FAD,43.1,11:08 2023-12-02,RH %
3FAD,817.0,11:23 2023-12-02,CO2 ppm
3FAD,21.0,11:23 2023-12-02,t° C
3FAD,43.1,11:23 2023-12-02,RH %
3FAD,812.0,11:38 2023-12-02,CO2 ppm
3FAD,21.0,11:38 2023-12-02,t° C
3FAD,43.1,11:38 2023-12-02,RH %
3FAD,803.0,11:53 2023-12-02,CO2 ppm
3FAD,21.1,11:53 2023-12-02,t° C
3FAD,43.1,11:53 2023-12-02,RH %
3FAD,797.0,12:08 2023-12-02,CO2 ppm
3FAD,21.1,12:08 2023-12-02,t° C
3FAD,43.1,12:08 2023-12-02,RH %
3FAD,792.0,12:23 2023-12-02,CO2 ppm
3FAD,21.0,12:23 2023-12-02,t° C
3FAD,43.1,12:23 2023-12-02,RH %
3FAD,791.0,12:38 2023-12-02,CO2 ppm
3FAD,21.0,12:38 2023-12-02,t° C
3FAD,43.2,12:38 2023-12-02,RH %
3FAD,784.0,12:53 2023-12-02,CO2 ppm
3FAD,21.0,12:53 2023-12-02,t° C
3FAD,43.2,12:53 2023-12-02,RH %
3FAD,776.0,13:08 2023-12-02,CO2 ppm
3FAD,21.0,13:08 2023-12-02,t° C
3FAD,43.1,13:08 2023-12-02,RH %
3FAD,772.0,13:23 2023-12-02,CO2 ppm
3FAD,21.1,13:23 2023-12-02,t° C
3FAD,43.1,13:23 2023-12-02,RH %
3FAD,766.0,13:38 2023-12-02,CO2 ppm
3FAD,21.0,13:38 2023-12-02,t° C
3FAD,43.1,13:38 2023-12-02,RH %
3FAD,760.0,13:53 2023-12-02,CO2 ppm
3FAD,21.0,13:53 2023-12-02,t° C
3FAD,43.2,13:53 2023-12-02,RH %
3FAD,757.0,14:08 2023-12-02,CO2 ppm
3FAD,21.0,14:08 2023-12-02,t° C
3FAD,43.2,14:08 2023-12-02,RH %
3FAD,753.0,14:23 2023-12-02,CO2 ppm
3FAD,21.0,14:23 2023-12-02,t° C
3FAD,43.2,14:23 2023-12-02,RH %
3FAD,748.0,14:38 2023-12-02,CO2 ppm
3FAD,21.0,14:38 2023-12-02,t° C
3FAD,43.2,14:38 2023-12-02,RH %
3FAD,746.0,14:53 2023-12-02,CO2 ppm
3FAD,21.0,14:53 2023-12-02,t° C
3FAD,43.2,14:53 2023-12-02,RH %
3FAD,742.0,15:08 2023-12-02,CO2 ppm
3FAD,21.0,15:08 2023-12-02,t° C
3FAD,43.1,15:08 2023-12-02,RH %
3FAD,732.0,15:23 2023-12-02,CO2 ppm
3FAD,21.0,15:23 2023-12-02,t° C
3FAD,43.1,15:23 2023-12-02,RH %
3FAD,727.0,15:38 2023-12-02,CO2 ppm
3FAD,21.0,15:38 2023-12-02,t° C
3FAD,43.1,15:38 2023-12-02,RH %
3FAD,724.0,15:53 2023-12-02,CO2 ppm
3FAD,21.0,15:53 2023-12-02,t° C
3FAD,43.1,15:53 2023-12-02,RH %
3FAD,721.0,16:08 2023-12-02,CO2 ppm
3FAD,21.0,16:08 2023-12-02,t° C
3FAD,43.1,16:08 2023-12-02,RH %
3FAD,714.0,16:18 2023-12-02,CO2 ppm
3FAD,717.0,16:23 2023-12-02,CO2 ppm
3FAD,21.0,16:23 2023-12-02,t° C
3FAD,43.1,16:23 2023-12-02,RH %
3FAD,709.0,16:38 2023-12-02,CO2 ppm
3FAD,21.0,16:38 2023-12-02,t° C
3FAD,43.1,16:38 2023-12-02,RH %
3FAD,707.0,16:53 2023-12-02,CO2 ppm
3FAD,21.0,16:53 2023-12-02,t° C
3FAD,43.1,16:53 2023-12-02,RH %
3FAD,706.0,17:08 2023-12-02,CO2 ppm
3FAD,21.0,17:08 2023-12-02,t° C
3FAD,43.1,17:08 2023-12-02,RH %
3FAD,702.0,17:23 2023-12-02,CO2 ppm
3FAD,21.0,17:23 2023-12-02,t° C
3FAD,43.0,17:23 2023-12-02,RH %
3FAD,695.0,17:38 2023-12-02,CO2 ppm
3FAD,21.0,17:38 2023-12-02,t° C
3FAD,43.0,17:38 2023-12-02,RH %
3FAD,691.0,17:53 2023-12-02,CO2 ppm
3FAD,21.0,17:53 2023-12-02,t° C
3FAD,43.1,17:53 2023-12-02,RH %
3FAD,686.0,18:08 2023-12-02,CO2 ppm
3FAD,21.0,18:08 2023-12-02,t° C
3FAD,43.1,18:08 2023-12-02,RH %
3FAD,684.0,18:23 2023-12-02,CO2 ppm
3FAD,20.9,18:23 2023-12-02,t° C
3FAD,43.1,18:23 2023-12-02,RH %
3FAD,677.0,18:38 2023-12-02,CO2 ppm
3FAD,20.9,18:38 2023-12-02,t° C
3FAD,43.0,18:38 2023-12-02,RH %
3FAD,676.0,18:53 2023-12-02,CO2 ppm
3FAD,20.9,18:53 2023-12-02,t° C
3FAD,43.0,18:53 2023-12-02,RH %
3FAD,675.0,19:08 2023-12-02,CO2 ppm
3FAD,20.9,19:08 2023-12-02,t° C
3FAD,43.1,19:08 2023-12-02,RH %
3FAD,673.0,19:23 2023-12-02,CO2 ppm
3FAD,20.9,19:23 2023-12-02,t° C
3FAD,43.1,19:23 2023-12-02,RH %
3FAD,669.0,19:38 2023-12-02,CO2 ppm
3FAD,20.9,19:38 2023-12-02,t° C
3FAD,43.1,19:38 2023-12-02,RH %
3FAD,666.0,19:53 2023-12-02,CO2 ppm
3FAD,20.9,19:53 2023-12-02,t° C
3FAD,43.1,19:53 2023-12-02,RH %
3FAD,663.0,20:08 2023-12-02,CO2 ppm
3FAD,21.0,20:08 2023-12-02,t° C
3FAD,43.0,20:08 2023-12-02,RH %
3FAD,663.0,20:23 2023-12-02,CO2 ppm
3FAD,20.9,20:23 2023-12-02,t° C
3FAD,43.1,20:23 2023-12-02,RH %
3FAD,659.0,20:38 2023-12-02,CO2 ppm
3FAD,20.9,20:38 2023-12-02,t° C
3FAD,43.1,20:38 2023-12-02,RH %
3FAD,654.0,20:53 2023-12-02,CO2 ppm
3FAD,20.9,20:53 2023-12-02,t° C
3FAD,43.1,20:53 2023-12-02,RH %
3FAD,653.0,21:08 2023-12-02,CO2 ppm
3FAD,20.9,21:08 2023-12-02,t° C
3FAD,43.1,21:08 2023-12-02,RH %
